-7.271854400634766	no
-7.47637939453125	black
-7.698139190673828	in
-7.769336700439453	free
-7.827363967895508	open
-7.827751159667969	illegal
-7.852535247802734	racist
-7.853660583496094	love
-7.857128143310547	good
-7.85980224609375	war
-7.911355972290039	dangerous
-7.942962646484375	the
-7.955854415893555	we
-7.9627685546875	not
-7.997777938842773	gay
-8.019851684570312	crazy
-8.031593322753906	real
-8.038995742797852	dirty
-8.050472259521484	dead
-8.052837371826172	fake
-8.057781219482422	just
-8.080493927001953	only
-8.094375610351562	rape
-8.102859497070312	toxic
-8.10322380065918	like
-8.184520721435547	new
-8.185152053833008	bad
-8.190147399902344	radical
-8.20199203491211	pure
-8.203817367553711	impossible
-8.241561889648438	very
-8.258071899414062	hot
-8.2607421875	evil
-8.277530670166016	natural
-8.281473159790039	a
-8.292953491210938	political
-8.337783813476562	special
-8.35354995727539	safe
-8.359832763671875	white
-8.37075424194336	liberal
-8.381416320800781	peace
-8.388126373291016	literally
-8.393985748291016	out
-8.395675659179688	strong
-8.400814056396484	freedom
-8.403816223144531	great
-8.404596328735352	our
-8.459957122802734	fair
-8.460556030273438	dark
-8.466861724853516	ridiculous
-8.482746124267578	holy
-8.491741180419922	creepy
-8.51835823059082	shameful
-8.518758773803711	fuck
-8.56204605102539	genocide
-8.563426971435547	he
-8.573945999145508	global
-8.594669342041016	extreme
-8.604850769042969	social
-8.61264419555664	secret
-8.617122650146484	all
-8.617382049560547	fun
-8.619499206542969	almost
-8.625724792480469	and
-8.650123596191406	death
-8.676300048828125	big
-8.683868408203125	may
-8.696325302124023	clear
-8.70132827758789	absolutely
-8.703266143798828	beautiful
-8.705375671386719	green
-8.715450286865234	revolution
-8.718912124633789	unprecedented
-8.722341537475586	cool
-8.724149703979492	it
-8.726688385009766	clean
-8.728519439697266	best
-8.732505798339844	public
-8.732681274414062	cult
-8.732900619506836	embarrassing
-8.738235473632812	disgusting
-8.742279052734375	right
-8.747800827026367	absurd
-8.75698471069336	super
-8.763080596923828	legal
-8.765953063964844	violent
-8.767791748046875	shit
-8.772048950195312	normal
-8.785594940185547	poison
-8.790199279785156	unacceptable
-8.79250717163086	criminal
-8.793447494506836	awesome
-8.797630310058594	deep
-8.801658630371094	murder
-8.803436279296875	broken
-8.807588577270508	progressive
-8.830184936523438	yes
-8.839866638183594	is
-8.839916229248047	common
-8.856792449951172	bullshit
-8.862991333007812	made
-8.87022590637207	terrorist
-8.878524780273438	proof
-8.881021499633789	red
-8.882495880126953	universal
-8.8865966796875	hard
-8.88846206665039	they
-8.896224975585938	friendly
-8.896568298339844	critical
-8.913675308227539	soft
-8.914119720458984	go
-8.914363861083984	religion
-8.924375534057617	guilty
-8.932279586791992	stupid
-8.937442779541016	hate
-8.950860977172852	more
-8.951990127563477	insane
-8.957830429077148	compromise
-8.964946746826172	sin
-8.965415954589844	full
-8.969963073730469	home
-8.995950698852539	libertarian
-9.00149154663086	family
-9.003227233886719	problematic
-9.003995895385742	refugee
-9.005748748779297	sex
-9.008037567138672	serious
-9.012166976928711	legitimate
-9.015411376953125	sacred
-9.016284942626953	about
-9.017110824584961	rare
-9.020940780639648	spiritual
-9.039493560791016	democracy
-9.04266357421875	offensive
-9.046140670776367	true
-9.04855728149414	deplorable
-9.049991607666016	religious
-9.077217102050781	on
-9.07830810546875	if
-9.078620910644531	eternal
-9.079837799072266	smart
-9.085878372192383	hidden
-9.097892761230469	race
-9.107856750488281	most
-9.10866928100586	easy
-9.111173629760742	ghost
-9.111408233642578	perfect
-9.111892700195312	national
-9.113677978515625	high
-9.116016387939453	weak
-9.118099212646484	idiot
-9.118728637695312	false
-9.120685577392578	liberty
-9.12217903137207	better
-9.129505157470703	conservative
-9.129589080810547	power
-9.143913269042969	kind
-9.146982192993164	fascist
-9.148317337036133	silent
-9.150369644165039	neutral
-9.15091323852539	crisis
-9.153030395507812	man
-9.15456771850586	do
-9.158096313476562	never
-9.158597946166992	over
-9.1600341796875	people
-9.162162780761719	kill
-9.167230606079102	elite
-9.169683456420898	brilliant
-9.169828414916992	treason
-9.17153549194336	censorship
-9.173149108886719	blood
-9.177061080932617	transgender
-9.180049896240234	lost
-9.189859390258789	magic
-9.193115234375	complete
-9.195358276367188	truth
-9.195783615112305	authentic
-9.19666862487793	live
-9.196840286254883	racism
-9.197555541992188	aggressive
-9.19851303100586	organic
-9.200794219970703	official
-9.201358795166016	foreign
-9.2025146484375	wild
-9.202739715576172	popular
-9.203296661376953	up
-9.205612182617188	potential
-9.206356048583984	sexy
-9.224712371826172	independent
-9.226053237915039	unique
-9.229497909545898	unfair
-9.232017517089844	sensitive
-9.232830047607422	miracle
-9.237245559692383	culture
-9.238391876220703	fire
-9.23862075805664	terror
-9.240240097045898	bloody
-9.246879577636719	she
-9.247932434082031	human
-9.251256942749023	probably
-9.251567840576172	slut
-9.258031845092773	diversity
-9.259002685546875	premium
-9.260608673095703	wrong
-9.260669708251953	harassment
-9.264053344726562	cheap
-9.267200469970703	significant
-9.26776123046875	one
-9.269100189208984	still
-9.271804809570312	happy
-9.272422790527344	always
-9.27747917175293	strange
-9.287555694580078	sanctuary
-9.288082122802734	moderate
-9.291925430297852	sad
-9.295269012451172	terrorism
-9.298738479614258	old
-9.299903869628906	art
-9.300697326660156	fascism
-9.303348541259766	officially
-9.304109573364258	suicide
-9.310117721557617	cruel
-9.311050415039062	back
-9.311115264892578	play
-9.316015243530273	theory
-9.321395874023438	selfish
-9.322834014892578	game
-9.323638916015625	damn
-9.327423095703125	first
-9.327667236328125	now
-9.333032608032227	fast
