index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
10	0.12	117	35	-235.53250122070312	83	17	-45.93824768066406	1
11	0.12	95	29	-202.7093963623047	65	13	-37.231903076171875	1
12	0.12	95	27	-181.88705444335938	70	11	-38.03014373779297	1
13	0.12	89	32	-214.41908264160156	65	12	-36.2711296081543	0
14	0.12	112	37	-226.48147583007812	74	17	-48.818241119384766	0
15	0.12	90	28	-201.28964233398438	66	12	-31.062971115112305	1
16	0.12	73	27	-197.7032928466797	54	10	-33.82640838623047	1
17	0.12	122	36	-227.8552703857422	83	18	-58.68632125854492	1
18	0.12	129	44	-271.0401611328125	91	20	-52.05624771118164	1
19	0.12	85	32	-183.66432189941406	56	14	-38.932559967041016	1
20	0.12	210	72	-439.9748229980469	146	31	-86.7518310546875	1
21	0.12	44	16	-117.7522964477539	29	8	-45.367950439453125	0
22	0.12	142	56	-311.3374328613281	97	24	-52.75218963623047	1
23	0.12	115	45	-265.19842529296875	82	17	-49.46599578857422	0
24	0.12	149	50	-331.656494140625	114	17	-65.35729217529297	1
25	0.12	89	28	-182.39382934570312	63	13	-52.5767822265625	1
26	0.12	218	65	-385.0726318359375	160	29	-68.16397857666016	1
27	0.12	97	32	-221.8553924560547	69	13	-44.78742218017578	1
28	0.12	81	29	-191.12339782714844	57	12	-34.395320892333984	1
29	0.12	234	81	-433.4220886230469	167	33	-110.24634552001953	1
30	0.12	121	39	-250.19534301757812	85	17	-51.22245407104492	1
31	0.12	217	75	-437.85943603515625	151	31	-94.86784362792969	1
32	0.12	195	66	-391.8711853027344	141	26	-85.37798309326172	1
33	0.12	196	67	-390.1120910644531	138	29	-85.90695190429688	1
34	0.12	80	25	-182.40211486816406	60	10	-38.51613235473633	1
35	0.12	129	42	-264.6094970703125	87	19	-54.80363464355469	0
36	0.12	68	21	-156.3821563720703	49	10	-41.21456527709961	1
37	0.12	128	46	-295.6903381347656	90	20	-62.54371643066406	1
38	0.12	97	37	-227.392822265625	68	16	-44.79998016357422	1
39	0.12	102	37	-244.51657104492188	72	16	-60.25666809082031	1
40	0.12	160	51	-327.7121887207031	116	21	-68.46855163574219	1
41	0.12	199	61	-413.88702392578125	143	25	-85.19293975830078	1
42	0.12	210	73	-393.2179870605469	148	31	-106.4739990234375	1
43	0.12	94	34	-214.1351318359375	66	14	-39.121883392333984	1
44	0.12	95	35	-201.0104522705078	62	15	-53.58772659301758	0
45	0.12	148	51	-308.8842468261719	108	20	-70.90003967285156	0
46	0.12	137	44	-297.0346984863281	101	22	-68.741943359375	1
47	0.12	106	34	-216.29742431640625	76	14	-61.004852294921875	1
48	0.12	94	36	-212.60244750976562	67	14	-47.3330192565918	1
49	0.12	63	23	-159.3131103515625	44	10	-39.08855438232422	0
50	0.12	208	75	-460.0495910644531	154	27	-123.87109375	0
51	0.12	179	62	-387.9795227050781	128	27	-68.1164779663086	1
52	0.12	116	39	-267.693603515625	84	17	-64.16669464111328	0
53	0.12	67	23	-155.838134765625	47	10	-33.70474624633789	1
54	0.12	148	51	-261.89453125	106	24	-62.38876724243164	1
55	0.12	101	37	-232.50791931152344	72	17	-67.8116683959961	1
56	0.12	170	51	-318.2948303222656	120	21	-75.96402740478516	1
57	0.12	214	65	-389.20159912109375	156	27	-94.36947631835938	1
58	0.12	199	68	-395.6870422363281	144	28	-79.90569305419922	1
59	0.12	193	54	-355.3476867675781	140	25	-81.16439056396484	0
60	0.12	94	33	-220.10946655273438	65	13	-41.32142639160156	1
61	0.12	100	35	-212.28271484375	74	14	-47.243648529052734	1
62	0.12	165	53	-357.5252380371094	125	22	-97.30760955810547	0
63	0.12	104	30	-201.94602966308594	78	15	-56.248104095458984	1
64	0.12	157	49	-337.5578308105469	118	20	-81.76481628417969	1
65	0.12	75	28	-150.8926544189453	53	11	-28.980443954467773	1
66	0.12	75	26	-164.41513061523438	53	11	-35.208526611328125	1
67	0.12	196	62	-350.28839111328125	140	27	-83.2618408203125	0
