index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
5	46	22	-156.29559326171875	46	11	-79.20280456542969	0
6	62	28	-200.92111206054688	62	15	-101.35277557373047	1
7	35	18	-119.78642272949219	35	12	-64.19994354248047	0
8	46	23	-164.1685333251953	46	10	-84.27983093261719	0
9	63	29	-194.447021484375	63	12	-93.08232116699219	0
10	93	41	-297.62200927734375	93	19	-147.43690490722656	0
11	60	29	-191.8060760498047	60	12	-91.26068115234375	0
12	53	25	-160.53988647460938	53	13	-104.01158142089844	0
13	49	22	-163.39785766601562	49	12	-87.06396484375	0
14	64	35	-219.53366088867188	64	11	-87.08296203613281	0
15	44	20	-159.3396759033203	44	10	-75.81602478027344	0
16	90	40	-288.59478759765625	90	18	-141.23928833007812	0
17	69	36	-229.1360321044922	69	16	-109.79920959472656	0
18	70	33	-224.27735900878906	70	15	-105.9284439086914	0
19	83	38	-254.44607543945312	83	16	-109.63018798828125	0
20	65	33	-205.54660034179688	65	13	-88.39380645751953	0
21	70	35	-229.433837890625	70	11	-87.59657287597656	0
22	65	33	-210.42117309570312	65	12	-85.09185028076172	0
23	74	34	-225.2438507080078	74	17	-114.66706085205078	0
24	69	33	-227.4466552734375	69	13	-105.26534271240234	0
25	66	32	-208.31138610839844	66	12	-98.36259460449219	0
26	133	66	-436.90460205078125	133	27	-199.6099090576172	0
27	50	25	-171.19908142089844	50	9	-65.43809509277344	0
28	124	60	-398.9859619140625	124	21	-173.24929809570312	0
29	205	93	-617.979248046875	205	36	-279.27532958984375	0
30	104	50	-326.2580261230469	104	19	-129.98818969726562	0
31	124	56	-397.6419372558594	124	21	-151.16387939453125	0
32	91	39	-257.178466796875	91	21	-143.89126586914062	0
33	82	38	-242.5635223388672	82	17	-123.74644470214844	0
34	140	64	-420.29815673828125	140	27	-190.2277374267578	0
35	70	37	-222.90118408203125	70	16	-119.03473663330078	0
36	83	41	-261.2787780761719	83	18	-127.45463562011719	0
37	148	69	-478.8646545410156	148	27	-199.7920379638672	0
38	91	49	-302.5297546386719	91	20	-141.24351501464844	0
39	56	26	-173.281005859375	56	14	-86.03892517089844	1
40	146	67	-430.4088134765625	146	31	-233.2223358154297	0
41	162	75	-531.2880249023438	162	28	-213.6304473876953	0
42	72	35	-233.39703369140625	72	17	-122.24630737304688	0
43	137	61	-434.6011047363281	137	26	-194.45433044433594	0
44	29	16	-112.06497192382812	29	8	-62.18340301513672	0
45	97	47	-290.87225341796875	97	24	-153.40321350097656	0
46	93	47	-288.2765808105469	93	18	-137.84420776367188	0
47	82	38	-263.3457946777344	82	17	-129.80673217773438	0
48	114	59	-356.16473388671875	114	17	-141.1846923828125	0
49	63	31	-194.2924346923828	63	13	-95.2775650024414	0
50	135	63	-413.2650451660156	135	26	-189.81893920898438	0
51	77	36	-243.29727172851562	77	15	-107.21244812011719	0
52	140	66	-442.17462158203125	140	26	-194.55824279785156	0
53	57	28	-188.30455017089844	57	12	-97.10848999023438	0
54	123	60	-389.4556884765625	123	21	-187.3815155029297	0
55	85	40	-265.15478515625	85	17	-127.56370544433594	0
56	151	72	-443.979248046875	151	31	-233.907958984375	0
57	141	64	-417.70574951171875	141	26	-208.21676635742188	0
58	112	59	-354.0317687988281	112	32	-171.9922332763672	0
59	138	66	-387.5330505371094	138	29	-212.28985595703125	0
60	70	31	-224.1577911376953	70	13	-85.98776245117188	0
61	60	30	-193.64454650878906	60	10	-79.98814392089844	0
62	87	42	-262.6983337402344	87	19	-126.08354187011719	0
63	155	76	-471.29754638671875	155	31	-204.65797424316406	0
64	111	49	-300.56781005859375	111	27	-180.29017639160156	0
65	118	54	-347.7430725097656	118	23	-172.56732177734375	0
66	49	21	-166.02601623535156	49	10	-72.82288360595703	0
67	90	43	-274.9417724609375	90	20	-143.77688598632812	0
68	68	32	-210.42393493652344	68	16	-102.49209594726562	0
69	72	33	-239.07505798339844	72	16	-122.9381103515625	0
70	124	62	-361.7044677734375	124	25	-192.2061767578125	0
71	116	54	-369.0227966308594	116	21	-184.1699981689453	0
72	143	66	-448.74908447265625	143	25	-206.59439086914062	0
73	148	68	-432.8388977050781	148	30	-225.6604461669922	0
74	66	30	-216.60781860351562	66	14	-103.71043395996094	0
75	221	101	-682.480712890625	221	44	-319.7403564453125	0
76	89	45	-285.0839538574219	89	19	-140.14280700683594	0
77	202	96	-638.7725830078125	202	32	-266.30938720703125	0
78	242	116	-691.77783203125	242	39	-250.44923400878906	0
79	62	28	-188.62255859375	62	15	-100.70437622070312	0
80	179	86	-565.980712890625	179	35	-251.978515625	0
81	108	51	-323.0541687011719	108	20	-162.55990600585938	0
82	83	37	-240.97413635253906	83	21	-147.70578002929688	0
83	101	46	-291.84283447265625	101	22	-150.19497680664062	0
84	76	39	-257.50189208984375	76	14	-114.86186981201172	0
85	100	46	-329.1773376464844	100	19	-129.99879455566406	0
86	183	85	-525.2630004882812	183	39	-279.9393615722656	0
87	161	73	-494.9720458984375	161	31	-248.5366973876953	0
88	67	32	-219.61146545410156	67	14	-99.84365844726562	0
89	44	22	-151.2558135986328	44	10	-73.71011352539062	0
90	58	27	-181.0558319091797	58	12	-79.51617431640625	0
91	249	117	-695.2831420898438	249	46	-311.7531433105469	0
92	138	67	-460.9745178222656	138	26	-199.14373779296875	0
93	154	71	-467.3912353515625	154	27	-238.70762634277344	0
94	128	57	-380.34478759765625	128	26	-178.9775390625	0
95	74	34	-232.32009887695312	74	15	-102.74436950683594	0
96	80	38	-247.22589111328125	80	14	-116.89811706542969	0
97	95	50	-294.81298828125	95	22	-158.61175537109375	0
98	118	55	-384.1054992675781	118	18	-152.4845733642578	0
99	134	63	-420.7059326171875	134	29	-198.94412231445312	0
