index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
93	fwd	129	38	-146.06961059570312	129	38	-132.79336547851562	0
94	fwd	105	33	-132.63812255859375	105	33	-108.32133483886719	1
95	fwd	152	45	-160.681884765625	152	45	-160.35667419433594	1
96	fwd	92	27	-102.52957153320312	92	27	-101.93496704101562	1
97	fwd	105	31	-123.09053802490234	105	31	-118.18710327148438	1
98	fwd	122	39	-147.33213806152344	122	39	-134.72579956054688	1
99	fwd	133	41	-143.16989135742188	133	41	-145.47793579101562	1
0	rev	91	32	-123.25765991210938	91	32	-122.75480651855469	0
1	rev	120	36	-128.67987060546875	120	36	-119.93104553222656	1
2	rev	153	43	-172.8846435546875	153	43	-174.84884643554688	0
3	rev	99	31	-130.2933807373047	99	31	-132.16273498535156	0
4	rev	99	31	-112.23854064941406	99	31	-116.69308471679688	0
5	rev	188	56	-215.81198120117188	188	56	-207.4723663330078	1
6	rev	99	30	-102.41925811767578	99	30	-108.57693481445312	1
7	rev	115	36	-139.87339782714844	115	36	-133.7738800048828	0
8	rev	116	35	-132.70492553710938	116	35	-137.82272338867188	0
9	rev	118	34	-131.3771514892578	118	34	-135.57513427734375	1
10	rev	113	35	-122.11563873291016	113	35	-125.46116638183594	0
11	rev	117	37	-125.62895202636719	117	37	-127.1689682006836	0
12	rev	141	46	-172.5321807861328	141	46	-169.50209045410156	0
13	rev	135	42	-152.83038330078125	135	42	-155.53369140625	0
14	rev	172	51	-185.64508056640625	172	51	-188.4180145263672	1
15	rev	159	47	-175.58338928222656	159	47	-173.35479736328125	0
16	rev	167	50	-181.46804809570312	167	50	-181.28628540039062	0
17	rev	83	30	-116.32106018066406	83	30	-117.42261505126953	1
18	rev	177	56	-195.93655395507812	177	56	-193.83482360839844	0
19	rev	133	39	-150.5763702392578	133	39	-140.8018035888672	0
20	rev	107	35	-125.44706726074219	107	35	-119.85260772705078	0
21	rev	111	36	-141.2747344970703	111	36	-134.7728271484375	0
22	rev	188	58	-210.3421630859375	188	58	-210.42254638671875	0
