index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
77	rot2encstep_highprob	202	32	-142.54417419433594	202	111	-666.763916015625	0
78	rot2encstep_highprob	242	39	-125.74551391601562	242	127	-724.8528442382812	0
79	rot2encstep_highprob	62	15	-54.29219055175781	62	34	-207.88565063476562	0
80	rot2encstep_highprob	179	35	-92.12397766113281	179	97	-590.396728515625	0
81	rot2encstep_highprob	108	20	-72.94061279296875	108	60	-360.3747253417969	0
82	rot2encstep_highprob	83	21	-49.739315032958984	83	47	-227.86495971679688	0
83	rot2encstep_highprob	101	22	-71.09520721435547	101	55	-327.4395751953125	0
84	rot2encstep_highprob	76	14	-64.50175476074219	76	41	-266.163818359375	0
85	rot2encstep_highprob	100	19	-66.79141998291016	100	54	-340.11968994140625	0
86	rot2encstep_highprob	183	39	-116.96416473388672	183	91	-556.654296875	0
87	rot2encstep_highprob	161	31	-102.93753051757812	161	85	-539.2808837890625	0
88	rot2encstep_highprob	67	14	-45.37907028198242	67	36	-226.42138671875	0
89	rot2encstep_highprob	44	10	-40.601165771484375	44	24	-159.74911499023438	0
90	rot2encstep_highprob	58	12	-40.646175384521484	58	31	-208.48175048828125	0
91	rot2encstep_highprob	249	46	-115.60701751708984	249	141	-718.68505859375	0
92	rot2encstep_highprob	138	26	-84.92437744140625	138	74	-484.6326904296875	0
93	rot2encstep_highprob	154	27	-107.77410125732422	154	85	-513.4009399414062	0
94	rot2encstep_highprob	128	26	-48.161888122558594	128	74	-420.287353515625	0
95	rot2encstep_highprob	74	15	-59.45042419433594	74	40	-259.9453125	0
96	rot2encstep_highprob	80	14	-49.878570556640625	80	45	-271.5397033691406	0
97	rot2encstep_highprob	95	22	-84.97925567626953	95	49	-339.4701232910156	0
98	rot2encstep_highprob	118	18	-69.74259948730469	118	65	-398.9998779296875	0
99	rot2encstep_highprob	134	29	-87.0923080444336	134	72	-452.0376281738281	0
0	rot13encstep_highprob	48	11	-30.73094367980957	48	22	-146.233642578125	0
1	rot13encstep_highprob	52	11	-31.848703384399414	52	26	-169.29574584960938	0
2	rot13encstep_highprob	52	11	-29.13664436340332	52	25	-177.57162475585938	0
3	rot13encstep_highprob	65	15	-40.32637023925781	65	31	-212.54148864746094	0
4	rot13encstep_highprob	37	10	-26.78089141845703	37	18	-130.51776123046875	1
5	rot13encstep_highprob	46	11	-34.90399932861328	46	21	-154.7038116455078	1
6	rot13encstep_highprob	62	15	-42.229698181152344	62	29	-202.67198181152344	0
7	rot13encstep_highprob	35	12	-26.098857879638672	35	19	-126.10889434814453	1
8	rot13encstep_highprob	46	10	-37.60206985473633	46	22	-169.74757385253906	0
9	rot13encstep_highprob	63	12	-34.939510345458984	63	27	-205.92050170898438	1
10	rot13encstep_highprob	93	19	-55.88397979736328	93	42	-287.9958801269531	0
11	rot13encstep_highprob	60	12	-41.86402893066406	60	30	-209.5302276611328	0
12	rot13encstep_highprob	53	13	-34.78181838989258	53	24	-179.45587158203125	1
13	rot13encstep_highprob	49	12	-39.390106201171875	49	23	-168.74737548828125	0
14	rot13encstep_highprob	64	11	-32.32732391357422	64	35	-216.2633056640625	0
15	rot13encstep_highprob	44	10	-34.95002365112305	44	21	-158.47218322753906	1
16	rot13encstep_highprob	90	18	-56.941795349121094	90	37	-279.4214172363281	0
17	rot13encstep_highprob	69	16	-45.86366271972656	69	34	-238.7756805419922	0
18	rot13encstep_highprob	70	15	-43.51896667480469	70	31	-234.53892517089844	0
19	rot13encstep_highprob	83	16	-37.94947052001953	83	35	-258.00933837890625	0
20	rot13encstep_highprob	65	13	-38.53646469116211	65	30	-211.1429443359375	0
21	rot13encstep_highprob	70	11	-32.3260498046875	70	33	-233.98902893066406	0
22	rot13encstep_highprob	65	12	-37.976749420166016	65	37	-223.1605682373047	0
23	rot13encstep_highprob	74	17	-48.09409713745117	74	34	-236.09425354003906	0
24	rot13encstep_highprob	69	13	-45.89350128173828	69	33	-227.96142578125	1
25	rot13encstep_highprob	66	12	-32.61466598510742	66	34	-213.1987762451172	0
26	rot13encstep_highprob	133	27	-78.81450653076172	133	66	-437.08465576171875	0
27	rot13encstep_highprob	50	9	-41.158233642578125	50	25	-172.6031951904297	0
28	rot13encstep_highprob	124	21	-60.58438491821289	124	55	-389.1358337402344	0
29	rot13encstep_highprob	205	36	-117.63484954833984	205	95	-629.6688232421875	0
30	rot13encstep_highprob	104	19	-59.33689498901367	104	48	-348.5264587402344	0
31	rot13encstep_highprob	124	21	-55.23046112060547	124	56	-390.7580261230469	0
32	rot13encstep_highprob	91	21	-54.42898178100586	91	40	-269.0203857421875	1
33	rot13encstep_highprob	82	17	-57.852333068847656	82	38	-249.62710571289062	0
34	rot13encstep_highprob	140	27	-84.49396514892578	140	66	-404.5914001464844	0
35	rot13encstep_highprob	70	16	-58.2799072265625	70	36	-232.4746551513672	0
36	rot13encstep_highprob	83	18	-48.44683837890625	83	40	-279.7212829589844	0
37	rot13encstep_highprob	148	27	-87.42809295654297	148	71	-484.2657165527344	0
38	rot13encstep_highprob	91	20	-53.040565490722656	91	45	-289.92132568359375	0
39	rot13encstep_highprob	56	14	-39.83208084106445	56	25	-183.6065216064453	1
40	rot13encstep_highprob	146	31	-83.79905700683594	146	69	-431.663818359375	0
41	rot13encstep_highprob	162	28	-93.36016845703125	162	74	-487.6514587402344	0
42	rot13encstep_highprob	72	17	-50.31577682495117	72	34	-211.6566925048828	1
43	rot13encstep_highprob	137	26	-72.61962890625	137	63	-430.6340637207031	0
44	rot13encstep_highprob	29	8	-49.033203125	29	17	-115.2876205444336	0
45	rot13encstep_highprob	97	24	-51.3943977355957	97	47	-287.48602294921875	1
46	rot13encstep_highprob	93	18	-55.22938537597656	93	48	-305.53863525390625	0
47	rot13encstep_highprob	82	17	-47.02035140991211	82	36	-268.6989440917969	0
48	rot13encstep_highprob	114	17	-65.0765151977539	114	53	-347.6397399902344	0
49	rot13encstep_highprob	63	13	-55.019805908203125	63	32	-190.32568359375	0
50	rot13encstep_highprob	135	26	-89.98734283447266	135	64	-416.2369384765625	0
51	rot13encstep_highprob	77	15	-58.296775817871094	77	35	-249.56832885742188	0
52	rot13encstep_highprob	140	26	-69.07444763183594	140	64	-433.79547119140625	0
53	rot13encstep_highprob	57	12	-37.3350944519043	57	25	-178.41778564453125	1
54	rot13encstep_highprob	123	21	-89.59208679199219	123	59	-385.0767517089844	0
55	rot13encstep_highprob	85	17	-53.278343200683594	85	39	-261.5434265136719	0
56	rot13encstep_highprob	151	31	-95.24991607666016	151	68	-450.7208251953125	0
57	rot13encstep_highprob	141	26	-86.56832122802734	141	60	-385.89093017578125	0
58	rot13encstep_highprob	112	32	-62.87451934814453	112	57	-340.4827880859375	0
59	rot13encstep_highprob	138	29	-83.60904693603516	138	66	-390.57159423828125	0
60	rot13encstep_highprob	70	13	-38.89440155029297	70	31	-230.6636962890625	0
61	rot13encstep_highprob	60	10	-41.54947280883789	60	28	-207.16331481933594	1
62	rot13encstep_highprob	87	19	-55.379032135009766	87	44	-273.841064453125	0
63	rot13encstep_highprob	155	31	-69.39561462402344	155	75	-499.60076904296875	0
64	rot13encstep_highprob	111	27	-91.83924102783203	111	48	-290.32373046875	0
65	rot13encstep_highprob	118	23	-84.0540542602539	118	55	-359.59844970703125	0
66	rot13encstep_highprob	49	10	-41.77679443359375	49	23	-163.3091583251953	1
67	rot13encstep_highprob	90	20	-64.15882873535156	90	43	-276.9371337890625	0
68	rot13encstep_highprob	68	16	-44.128150939941406	68	33	-232.2620086669922	0
69	rot13encstep_highprob	72	16	-60.6962890625	72	34	-230.1497802734375	0
