index	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
3	35	12	-58.277557373046875	51	21	-131.8568878173828	1
4	46	10	-68.18250274658203	62	21	-153.25711059570312	0
5	63	12	-87.93067932128906	83	30	-205.69100952148438	1
6	93	19	-158.33538818359375	127	42	-247.7688751220703	0
7	60	12	-90.04749298095703	80	26	-180.8571319580078	1
8	64	11	-78.13822174072266	82	28	-208.5845947265625	0
9	69	15	-101.64424896240234	97	35	-212.17079162597656	1
10	83	17	-122.95684814453125	111	37	-237.8032684326172	1
11	65	13	-89.10182189941406	89	29	-200.3965301513672	1
12	70	11	-88.11283874511719	90	27	-168.4272003173828	0
13	65	12	-94.61744689941406	87	32	-207.31265258789062	1
14	74	17	-114.90238952636719	104	37	-207.65509033203125	1
15	66	12	-89.91658782958984	88	27	-189.56768798828125	1
16	54	10	-87.25426483154297	72	25	-181.62002563476562	1
17	83	18	-127.65332794189453	113	40	-254.69406127929688	1
18	91	20	-150.95310974121094	123	44	-263.52008056640625	1
19	56	14	-94.3070297241211	80	33	-182.9454345703125	0
20	146	31	-225.15724182128906	202	71	-419.43133544921875	1
21	29	8	-58.749019622802734	41	17	-130.0032958984375	0
22	97	24	-156.5334930419922	135	54	-291.3020935058594	1
23	82	17	-121.32209014892578	112	42	-266.7259826660156	1
24	114	17	-141.8817138671875	146	42	-304.6493225097656	1
25	63	13	-93.05931854248047	85	24	-173.2672576904297	1
26	160	29	-233.568603515625	210	68	-404.19305419921875	0
27	69	13	-111.33148956298828	93	31	-190.56298828125	1
28	57	12	-86.23429107666016	79	24	-149.69955444335938	1
29	167	33	-231.63807678222656	225	77	-465.92791748046875	1
30	85	17	-110.85419464111328	115	38	-238.8420867919922	1
31	151	31	-233.1625213623047	209	80	-445.47088623046875	0
32	141	26	-222.65530395507812	187	64	-408.3595275878906	0
33	138	29	-213.69601440429688	190	69	-429.3485107421875	1
34	60	10	-85.19622802734375	78	25	-180.989990234375	0
35	87	19	-126.00940704345703	121	41	-252.30938720703125	1
36	49	10	-76.1534652709961	65	21	-160.8771514892578	0
37	90	20	-138.3468780517578	126	46	-307.653564453125	0
38	68	16	-113.05703735351562	94	36	-222.503662109375	1
39	72	16	-103.22138977050781	98	38	-237.4931182861328	1
40	116	21	-161.49403381347656	152	49	-314.5502014160156	0
41	143	25	-201.5850830078125	189	62	-383.4178466796875	0
42	148	31	-229.2740936279297	202	68	-374.69219970703125	0
43	66	14	-98.0310287475586	90	33	-210.5826873779297	1
44	62	15	-104.02020263671875	90	34	-192.8532257080078	1
45	108	20	-161.2858428955078	144	49	-319.973876953125	1
46	101	22	-152.82369995117188	135	44	-296.0819091796875	1
47	76	14	-108.81570434570312	102	32	-212.96630859375	1
48	67	14	-106.22461700439453	91	35	-219.00033569335938	1
49	44	10	-61.056007385253906	60	21	-144.90708923339844	1
50	154	27	-204.03062438964844	202	68	-458.0943908691406	1
51	128	27	-185.5076904296875	172	62	-364.4284973144531	0
52	84	17	-131.46095275878906	110	39	-268.0411071777344	1
53	47	10	-66.38943481445312	63	25	-172.32810974121094	1
54	106	24	-158.38575744628906	142	50	-294.8322448730469	0
55	72	17	-121.74605560302734	98	36	-205.84767150878906	1
56	120	21	-172.1603546142578	158	46	-309.10906982421875	1
57	156	27	-226.2926025390625	204	67	-393.24786376953125	1
58	144	28	-207.65924072265625	194	68	-385.4796142578125	0
59	140	25	-191.8149871826172	184	53	-342.07720947265625	1
60	65	13	-102.81072998046875	89	32	-213.8427276611328	1
61	74	14	-101.14452362060547	98	37	-221.5137939453125	1
62	125	22	-178.4188232421875	161	58	-352.7152099609375	1
63	78	15	-105.26068878173828	100	36	-220.55543518066406	0
64	118	20	-159.20619201660156	152	50	-331.2336120605469	1
65	53	11	-77.57128143310547	73	28	-155.62982177734375	1
66	53	11	-81.41449737548828	73	27	-179.50250244140625	0
67	140	27	-198.00576782226562	188	66	-393.5985107421875	0
68	113	22	-155.33868408203125	149	49	-319.88690185546875	1
69	104	19	-154.9973602294922	140	53	-323.9935607910156	1
70	160	24	-185.6826171875	200	52	-322.0281982421875	1
71	68	13	-105.54736328125	90	27	-181.94805908203125	0
72	113	21	-167.4820556640625	151	54	-344.8031311035156	0
73	109	21	-147.716064453125	143	50	-298.8395690917969	1
74	146	26	-206.72659301757812	192	68	-414.56103515625	0
75	63	13	-108.15365600585938	87	29	-211.34768676757812	0
76	83	17	-127.43112182617188	115	41	-244.75408935546875	1
77	118	20	-158.85498046875	150	44	-294.9355773925781	0
78	49	10	-70.68780517578125	65	24	-161.8309783935547	0
79	38	9	-62.704193115234375	54	19	-127.56257629394531	0
80	35	10	-56.85540008544922	51	24	-109.2866439819336	1
81	56	9	-63.96009826660156	70	21	-157.1582489013672	0
82	164	29	-230.4583282470703	220	72	-413.55712890625	0
83	158	28	-226.69277954101562	204	69	-418.1513366699219	0
84	51	10	-81.85629272460938	67	24	-169.70114135742188	1
85	82	17	-146.47198486328125	108	37	-248.71958923339844	0
86	62	13	-90.56791687011719	86	31	-187.2828826904297	1
87	97	16	-131.883544921875	125	42	-244.87350463867188	0
88	116	25	-192.49069213867188	156	54	-334.49932861328125	0
89	48	12	-96.2854232788086	68	26	-185.30206298828125	0
90	108	22	-167.32379150390625	144	50	-333.326171875	0
91	44	11	-96.73506164550781	62	24	-194.6602783203125	0
92	172	33	-245.57276916503906	234	77	-442.51953125	0
93	66	17	-125.62794494628906	94	38	-220.33596801757812	0
94	49	13	-105.50566864013672	69	25	-171.680419921875	0
95	49	11	-91.36092376708984	63	23	-193.2348175048828	0
96	46	11	-87.62354278564453	62	23	-177.50765991210938	0
97	55	13	-115.08639526367188	75	30	-206.10337829589844	0
98	112	25	-195.15585327148438	154	55	-351.7773132324219	0
99	65	16	-127.55298614501953	87	30	-240.36729431152344	0
