index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
38	0.12	68	16	-47.786643981933594	97	37	-233.22340393066406	0
39	0.12	72	16	-64.2737808227539	102	37	-250.6294708251953	0
40	0.12	116	21	-71.89198303222656	160	51	-333.564208984375	0
41	0.12	143	25	-88.74264526367188	199	61	-419.55670166015625	0
42	0.12	148	31	-109.70048522949219	210	73	-398.0725402832031	1
43	0.12	66	14	-42.131256103515625	94	34	-220.08334350585938	0
44	0.12	62	15	-57.41542053222656	95	35	-206.4431610107422	0
45	0.12	108	20	-74.63162231445312	148	51	-314.5003356933594	0
46	0.12	101	22	-72.17903900146484	137	44	-303.3545837402344	0
47	0.12	76	14	-65.6975326538086	106	34	-221.70484924316406	0
48	0.12	67	14	-50.974021911621094	94	36	-218.05380249023438	0
49	0.12	44	10	-43.431724548339844	63	23	-165.44053649902344	0
50	0.12	154	27	-128.63536071777344	208	75	-465.7292175292969	0
51	0.12	128	27	-70.73634338378906	179	62	-393.770263671875	1
52	0.12	84	17	-67.94120788574219	116	39	-273.9190368652344	0
53	0.12	47	10	-37.4497184753418	67	23	-161.8319091796875	0
54	0.12	106	24	-65.10132598876953	148	51	-266.57122802734375	0
55	0.12	72	17	-72.04989624023438	101	37	-238.32061767578125	1
56	0.12	120	21	-79.7622299194336	170	51	-323.7826843261719	0
57	0.12	156	27	-97.99906921386719	214	65	-394.4610595703125	0
58	0.12	144	28	-82.86515808105469	199	68	-400.8934631347656	1
59	0.12	140	25	-84.5462417602539	193	54	-360.8145751953125	1
60	0.12	65	13	-44.76487731933594	94	33	-225.90182495117188	0
61	0.12	74	14	-50.877777099609375	100	35	-218.02008056640625	1
62	0.12	125	22	-101.94129943847656	165	53	-363.5849609375	0
63	0.12	78	15	-59.99797821044922	104	30	-207.8856201171875	0
64	0.12	118	20	-86.06822967529297	157	49	-343.80889892578125	0
65	0.12	53	11	-31.878488540649414	75	28	-156.09585571289062	1
66	0.12	53	11	-38.72937774658203	75	26	-170.08462524414062	0
67	0.12	140	27	-86.46421813964844	196	62	-355.2220458984375	0
68	0.12	113	22	-75.18800354003906	156	50	-330.7131652832031	0
69	0.12	104	19	-89.46810913085938	142	51	-340.7203674316406	0
70	0.12	160	24	-79.36620330810547	208	63	-390.58392333984375	0
71	0.12	68	13	-57.288944244384766	95	28	-200.31658935546875	0
72	0.12	113	21	-91.37767791748047	158	53	-367.3854064941406	0
73	0.12	109	21	-99.0778579711914	147	48	-329.4983215332031	0
74	0.12	146	26	-117.63187408447266	198	58	-395.6671447753906	0
