index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
71	rot12enc_highprob_0shot	50	9	-36.58509826660156	50	24	-178.1669158935547	0
72	rot12enc_highprob_0shot	47	10	-26.170827865600586	47	26	-170.92579650878906	0
73	rot12enc_highprob_0shot	85	17	-50.14432144165039	85	41	-282.73284912109375	0
74	rot12enc_highprob_0shot	65	15	-37.637943267822266	65	36	-209.938232421875	0
75	rot12enc_highprob_0shot	135	26	-86.52629089355469	135	69	-440.401123046875	0
76	rot12enc_highprob_0shot	91	21	-51.83712387084961	91	41	-299.1192626953125	0
77	rot12enc_highprob_0shot	155	31	-67.22700500488281	155	85	-502.0975341796875	0
78	rot12enc_highprob_0shot	140	27	-81.36456298828125	140	70	-421.8086853027344	0
79	rot12enc_highprob_0shot	138	26	-81.65805053710938	138	71	-461.8179931640625	0
80	rot12enc_highprob_0shot	133	27	-75.66192626953125	133	74	-439.9765625	0
81	rot12enc_highprob_0shot	69	11	-48.83175277709961	69	35	-209.43353271484375	0
82	rot12enc_highprob_0shot	63	12	-32.02788543701172	63	32	-218.4091796875	0
83	rot12enc_highprob_0shot	27	7	-17.377723693847656	27	13	-90.79442596435547	0
84	rot12enc_highprob_0shot	138	29	-80.72598266601562	138	68	-433.88299560546875	0
85	rot12enc_highprob_0shot	53	14	-74.93423461914062	53	27	-203.54478454589844	0
86	rot12enc_highprob_0shot	80	17	-51.13898849487305	80	39	-257.9597473144531	0
87	rot12enc_highprob_0shot	182	31	-96.40208435058594	182	94	-587.835205078125	0
88	rot12enc_highprob_0shot	114	17	-61.24848175048828	114	58	-370.72869873046875	0
89	rot12enc_highprob_0shot	70	16	-54.637413024902344	70	35	-248.73448181152344	0
90	rot12enc_highprob_0shot	67	14	-42.1377067565918	67	33	-226.7277374267578	0
91	rot12enc_highprob_0shot	95	18	-63.14957046508789	95	48	-315.8729248046875	0
92	rot12enc_highprob_0shot	72	17	-47.17103958129883	72	36	-240.2914581298828	0
93	rot12enc_highprob_0shot	65	13	-35.572120666503906	65	33	-229.6200408935547	0
94	rot12enc_highprob_0shot	53	13	-32.106292724609375	53	26	-180.7392120361328	0
95	rot12enc_highprob_0shot	140	27	-76.79257202148438	140	70	-423.7093505859375	0
96	rot12enc_highprob_0shot	69	13	-42.615394592285156	69	37	-247.2356719970703	0
97	rot12enc_highprob_0shot	100	19	-63.276084899902344	100	54	-351.7669982910156	0
98	rot12enc_highprob_0shot	38	9	-19.992666244506836	38	19	-137.32200622558594	0
99	rot12enc_highprob_0shot	62	13	-36.750762939453125	62	28	-213.61398315429688	0
