index	task	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
93	fwd	129	41	-146.06961059570312	129	41	-132.79336547851562	0
94	fwd	105	38	-132.63812255859375	105	38	-108.32133483886719	0
95	fwd	152	53	-160.681884765625	152	53	-160.35667419433594	0
96	fwd	92	29	-102.52957153320312	92	29	-101.93496704101562	1
97	fwd	105	34	-123.09053802490234	105	34	-118.18710327148438	1
98	fwd	122	43	-147.33213806152344	122	43	-134.72579956054688	1
99	fwd	133	48	-143.16989135742188	133	48	-145.47793579101562	0
0	rev	91	35	-123.25765991210938	91	35	-122.75480651855469	0
1	rev	120	42	-128.67987060546875	120	42	-119.93104553222656	0
2	rev	153	45	-172.8846435546875	153	45	-174.84884643554688	0
3	rev	99	36	-130.2933807373047	99	36	-132.16273498535156	0
4	rev	99	33	-112.23854064941406	99	33	-116.69308471679688	0
5	rev	188	63	-215.81198120117188	188	63	-207.4723663330078	0
6	rev	99	37	-102.41925811767578	99	37	-108.57693481445312	0
7	rev	115	40	-139.87339782714844	115	40	-133.7738800048828	0
8	rev	116	38	-132.70492553710938	116	38	-137.82272338867188	0
9	rev	118	39	-131.3771514892578	118	39	-135.57513427734375	0
10	rev	113	38	-122.11563873291016	113	38	-125.46116638183594	0
11	rev	117	40	-125.62895202636719	117	40	-127.1689682006836	0
12	rev	141	49	-172.5321807861328	141	49	-169.50209045410156	0
13	rev	135	46	-152.83038330078125	135	46	-155.53369140625	0
14	rev	172	56	-185.64508056640625	172	56	-188.4180145263672	0
15	rev	159	52	-175.58338928222656	159	52	-173.35479736328125	0
16	rev	167	54	-181.46804809570312	167	54	-181.28628540039062	0
17	rev	83	34	-116.32106018066406	83	34	-117.42261505126953	0
18	rev	177	64	-195.93655395507812	177	64	-193.83482360839844	0
19	rev	133	44	-150.5763702392578	133	44	-140.8018035888672	0
20	rev	107	39	-125.44706726074219	107	39	-119.85260772705078	0
21	rev	111	41	-141.2747344970703	111	41	-134.7728271484375	0
22	rev	188	65	-210.3421630859375	188	65	-210.42254638671875	0
23	rev	115	41	-140.805419921875	115	41	-142.4557342529297	0
24	rev	128	47	-142.63685607910156	128	47	-144.74952697753906	0
25	rev	80	28	-101.03690338134766	80	28	-95.34981536865234	0
26	rev	104	32	-129.1559600830078	104	32	-134.4394073486328	0
27	rev	133	40	-152.81338500976562	133	40	-152.0807647705078	0
28	rev	91	30	-98.91925048828125	91	30	-99.5455093383789	0
29	rev	150	47	-173.60284423828125	150	47	-177.32608032226562	0
30	rev	144	48	-174.294677734375	144	48	-168.27642822265625	0
